연번,관리번호,도로명주소,X좌표(GRS80TM),Y좌표(GRS80TM),관리기관,관리부서,데이터기준일
1,중곡1-1,서울특별시 광진구 긴고랑로12길 49,37.56067,127.0799,서울특별시 광진구청,중곡1동,2026-09-04
2,중곡1-2,서울특별시 광진구 면목로 93,37.56193,127.0788,서울특별시 광진구청,중곡1동,2026-09-04
3,중곡1-3,서울특별시 광진구 긴고랑로 12,37.56373,127.0776,서울특별시 광진구청,중곡1동,2026-09-04
4,중곡1-4,서울특별시 광진구 긴고랑로1길 31,37.56541,127.0779,서울특별시 광진구청,중곡1동,2026-09-04
5,중곡1-5,서울특별시 광진구 천호대로 107길 52,37.55992,127.0794,서울특별시 광진구청,중곡1동,2026-09-04
6,중곡1-6,서울특별시 광진구 긴고랑로 49,37.56272,127.0819,서울특별시 광진구청,중곡1동,2026-09-04
7,중곡1-7,서울특별시 광진구 면목로 70,37.56011,127.0781,서울특별시 광진구청,중곡1동,2026-09-04
8,중곡1-8,서울특별시 광진구 동일로 328,37.56023,127.0744,서울특별시 광진구청,중곡1동,2026-09-04
9,중곡2-1,서울특별시 광진구 긴고랑로29길 47,37.56193,127.0863,서울특별시 광진구청,중곡2동,2026-09-04
10,중곡2-2,서울특별시 광진구 긴고랑로26길 38,37.55884,127.0846,서울특별시 광진구청,중곡2동,2026-09-04
11,중곡2-3,서울특별시 광진구 천호대로117길 72,37.55812,127.0851,서울특별시 광진구청,중곡2동,2026-09-04
12,중곡2-4,서울특별시 광진구 용마산로5길 42,37.55753,127.0855,서울특별시 광진구청,중곡2동,2026-09-04
13,중곡2-5,서울특별시 광진구 용마산로3길 38,37.55609,127.0859,서울특별시 광진구청,중곡2동,2026-09-04
14,중곡2-6,서울특별시 광진구 용마산로1길 65,37.55582,127.0849,서울특별시 광진구청,중곡2동,2026-09-04
15,중곡2-7,서울특별시 광진구 긴고랑로22길 51,37.55878,127.0833,서울특별시 광진구청,중곡2동,2026-09-04
16,중곡2-8,서울특별시 광진구 천호대로109길 71,37.55978,127.0823,서울특별시 광진구청,중곡2동,2026-09-04
17,중곡2-9,서울특별시 광진구 긴고랑로16길 38,37.56036,127.0819,서울특별시 광진구청,중곡2동,2026-09-04
18,중곡3-1,서울특별시 광진구 용마산로 183,37.57002,127.086,서울특별시 광진구청,중곡3동,2026-09-04
19,중곡3-2,서울특별시 광진구 용마산로 171,37.56884,127.0856,서울특별시 광진구청,중곡3동,2026-09-04
20,중곡3-3,서울특별시 광진구 능동로 437,37.56797,127.0853,서울특별시 광진구청,중곡3동,2026-09-04
21,중곡3-4,서울특별시 광진구 능동로53길 19,37.56658,127.0834,서울특별시 광진구청,중곡3동,2026-09-04
22,중곡3-5,서울특별시 광진구 용마산로 111,37.56356,127.0867,서울특별시 광진구청,중곡3동,2026-09-04
23,중곡3-6,서울특별시 광진구 동일로76가길 28,37.56879,127.0799,서울특별시 광진구청,중곡3동,2026-09-04
24,중곡3-7,서울특별시 광진구 답십리로88길 19,37.57018,127.085,서울특별시 광진구청,중곡3동,2026-09-04
25,중곡4-1,서울특별시 광진구 용마산로36길 30,37.57079,127.0879,서울특별시 광진구청,중곡4동,2026-09-04
26,중곡4-2,서울특별시 광진구 용마산로36길 18,37.57072,127.0872,서울특별시 광진구청,중곡4동,2026-09-04
