학교명,주소,위도,경도
경복초등학교,서울특별시 광진구 천호대로130길 58,,
서울광남초등학교,서울특별시 광진구 아차산로70길 35,,
서울광장초등학교,서울특별시 광진구 광장로1길 27,,
서울광진초등학교,서울특별시 광진구 자양로40길 41,,
서울구남초등학교,서울특별시 광진구 구의강변로 69,,
서울구의초등학교,서울특별시 광진구 광나루로30길 49,,
서울동의초등학교,서울특별시 광진구 영화사로 111,,
서울동자초등학교,서울특별시 광진구 뚝섬로 561,,
서울성자초등학교,서울특별시 광진구 뚝섬로56길 7,,
서울신양초등학교,서울특별시 광진구 능동로 42,,
서울신자초등학교,서울특별시 광진구 뚝섬로46길 64,,
서울양남초등학교,서울특별시 광진구 뚝섬로64길 71,,
서울양진초등학교,서울특별시 광진구 워커힐로 32,,
서울용곡초등학교,서울특별시 광진구 용마산로22길 82,,
서울용마초등학교,서울특별시 광진구 천호대로113길 10,,
서울자양초등학교,서울특별시 광진구 아차산로44길 26,,
서울장안초등학교,서울특별시 광진구 군자로 74,,
서울중광초등학교,서울특별시 광진구 긴고랑로13길 59,,
서울중마초등학교,서울특별시 광진구 동일로72길 43,,
성동초등학교,서울특별시 광진구 자양로4길 63,,
세종초등학교,서울특별시 광진구 군자로 114,,
