연번,관리번호,도로명주소,상세위치,위도,경도,관리기관,관리부서,데이터기준일
1,광진-1,서울특별시 광진구 광나루로 619,올림픽대교 북단사거리,37.54107,127.0962,서울특별시 광진구청,도로과,2026-08-20
2,광진-2,서울특별시 광진구 광나루로 595,워커힐길 입구,37.54266,127.0944,서울특별시 광진구청,도로과,2026-08-20
3,광진-3,서울특별시 광진구 광나루로 553,구의 래미안 공인중개사,37.54482,127.0903,서울특별시 광진구청,도로과,2026-08-20
4,광진-4,서울특별시 광진구 자양로 197,구의 사거리,37.5452,127.0851,서울특별시 광진구청,도로과,2026-08-20
5,광진-5,서울특별시 광진구 자양로 117,보건소 후문,37.53883,127.0821,서울특별시 광진구청,도로과,2026-08-20
6,광진-6,서울특별시 광진구 자양로 117,광진구청 후문,37.53908,127.0828,서울특별시 광진구청,도로과,2026-08-20
7,광진-7,서울특별시 광진구 자양로 117,광진구청 상황실 앞,37.53816,127.0828,서울특별시 광진구청,도로과,2026-08-20
8,광진-8,서울특별시 광진구 자양로 ,잠실대교 입구,37.53074,127.0868,서울특별시 광진구청,도로과,2026-08-20
9,광진-9,서울특별시 광진구 자양로 48,뚝섬길 입구,37.53238,127.0855,서울특별시 광진구청,도로과,2026-08-20
10,광진-10,서울특별시 광진구 아차산로58길 77,한양빌라 (구3),37.53424,127.09,서울특별시 광진구청,도로과,2026-08-20
11,광진-11,서울특별시 광진구 구의강변로 69,구남초교,37.53718,127.0928,서울특별시 광진구청,도로과,2026-08-20
12,광진-12,서울특별시 광진구 아차산로 419,플랜에이치헤어 앞,37.53803,127.0892,서울특별시 광진구청,도로과,2026-08-20
13,광진-13,서울특별시 광진구 자양로 95,자양사거리 (교통섬),37.53658,127.0834,서울특별시 광진구청,도로과,2026-08-20
14,광진-14,서울특별시 광진구 뚝섬로 587,자양3제일은행 앞,37.5333,127.0755,서울특별시 광진구청,도로과,2026-08-20
15,광진-15,서울특별시 광진구 능동로 50,신양초사거리(농협),37.53532,127.0688,서울특별시 광진구청,도로과,2026-08-20
16,광진-16,서울특별시 광진구 동일로 50,영동대교 북단사거리,37.53727,127.0614,서울특별시 광진구청,도로과,2026-08-20
17,광진-17,서울특별시 광진구 능동로 110,건대역 사거리,37.54031,127.0708,서울특별시 광진구청,도로과,2026-08-20
18,광진-18,서울특별시 광진구 능동로 160,음악공간(구 민중병원),37.54498,127.0731,서울특별시 광진구청,도로과,2026-08-20
19,광진-19,서울특별시 광진구 광나루로 441,어린이대공원역사거리,37.54743,127.0744,서울특별시 광진구청,도로과,2026-08-20
20,광진-20,서울특별시 광진구 능동로 268,미니스톱편의점,37.55392,127.0777,서울특별시 광진구청,도로과,2026-08-20
21,광진-21,서울특별시 광진구 동일로 180,화양사거리(하나은행),37.54819,127.0675,서울특별시 광진구청,도로과,2026-08-20
22,광진-22,서울특별시 광진구 광나루로 341,화양사거리,37.54842,127.0677,서울특별시 광진구청,도로과,2026-08-20
23,광진-23,서울특별시 광진구 동일로 224,서울숲아이파크 버스정류장,37.55173,127.0695,서울특별시 광진구청,도로과,2026-08-20
24,광진-24,서울특별시 광진구 동일로 256,선양유치원 ,37.55433,127.071,서울특별시 광진구청,도로과,2026-08-20
25,광진-25,서울특별시 광진구 동일로 462,장평교사거리(KT),37.5715,127.0801,서울특별시 광진구청,도로과,2026-08-20
26,광진-26,서울특별시 광진구 답십리로 404,중곡3동541-2(언덕중간),37.5709,127.0853,서울특별시 광진구청,도로과,2026-08-20
27,광진-27,서울특별시 광진구 용마산로 191,중곡동607-3(사거리),37.57072,127.086,서울특별시 광진구청,도로과,2026-08-20
28,광진-28,서울특별시 광진구 능동로 342-1,중곡2동사무소,37.55999,127.0812,서울특별시 광진구청,도로과,2026-08-20
29,광진-29,서울특별시 광진구 능동로 372,용마사거리,37.56236,127.0824,서울특별시 광진구청,도로과,2026-08-20
30,광진-30,서울특별시 광진구 용마산로 174,S.K.APT 정자 앞,37.56901,127.0861,서울특별시 광진구청,도로과,2026-08-20
31,광진-31,서울특별시 광진구 용마산로22길 26,대원고등학교,37.56376,127.0884,서울특별시 광진구청,도로과,2026-08-20
32,광진-32,서울특별시 광진구 긴고랑로 63,중곡사거리(국민은행)교통섬,37.55954,127.0874,서울특별시 광진구청,도로과,2026-08-20
33,광진-33,서울특별시 광진구 긴고랑로 211,긴고랑 마을버스종점,37.56191,127.0961,서울특별시 광진구청,도로과,2026-08-20
34,광진-34,서울특별시 광진구 긴고랑로 173,중곡4동72-10 앞,37.55924,127.0941,서울특별시 광진구청,도로과,2026-08-20
35,광진-35,서울특별시 광진구 광나루로 536,주사랑교회 버스정류장,37.54476,127.0888,서울특별시 광진구청,도로과,2026-08-20
36,광진-36,서울특별시 광진구 아차산로 532,상록타워(명약국),37.54259,127.1006,서울특별시 광진구청,도로과,2026-08-20
37,광진-37,서울특별시 광진구 아차산로78길 10,광장동 푸르지오APT버스정류장,37.5495,127.1082,서울특별시 광진구청,도로과,2026-08-20
