
결빙일수
지점/지역명 : 서울
목측 관측 수행 기간 : 1907-10-01 ~ 2100-12-31

평균 결빙일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
2015,29.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,21.0,91.0,11
2016,28.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,23.0,100.0,7
2017,26.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,29.0,117.0,1
2018,29.0,27.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,27.0,99.0,8
2019,31.0,24.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,26.0,103.0,5
2020,25.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,27.0,93.0,10
2021,26.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,27.0,94.0,9
2022,30.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,31.0,105.0,4
2023,29.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,106.0,3
2024,28.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,101.0,6
2025,31.0,27.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,28.0,112.0,2
평균,28.4,24.5,9.9,0.6,0.0,0.0,0.0,0.0,0.0,0.9,11.3,26.4


평균 계절별 결빙일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
2015,15,0,5,76
2016,8,0,14,77
2017,12,0,22,85
2018,8,0,8,82
2019,11,0,11,69
2020,10,0,13,75
2021,6,0,13,83
2022,10,0,8,87
2023,10,0,19,71
2024,11,0,10,88
2025,15,0,11,84
평균	,10.6,0.0,12.2,79.7

