관리청명,적설취약구간명,시점 위도,시점 경도,종점 위도,종점 경도,도로분류명,도로취약유형명,총도로길이_km
부산광역시 부산진구,엄광로2~진사로91,35.1481879,129.0164178,35.1433878,129.0165231,구도,급경사,0.58
부산광역시 금정구,산성로,35.2316866,129.0760926,35.2512161,129.0458728,지방도,산악지대,7
충청남도 천안시,수곡로,36.7906526,127.1202767,36.790032,127.1218751,지방도,기타,0.4
충청남도 서산시,취개고개,36.7234683,126.4047192,36.7179674,126.3926533,지방도,고갯길,1.5
경상북도 포항시 남구,도시계획도,36.0069607,129.3277215,36.004539,129.3195312,일반국도,고갯길,1.6
충청남도 서산시,도시계획도로,36.7860466,126.4519988,36.7887775,126.4561785,시도,고갯길,0.8
부산광역시 영도구,와치로161번길,35.0809991,129.0666802,35.0808945,129.06541,지방도,급경사,0.13
부산광역시 영도구,찬새미길,35.0935698,129.0526897,35.092491,129.0537402,지방도,급경사,0.14
부산광역시 영도구,일산봉로,35.0844383,129.0653775,35.0827514,129.0628913,지방도,급경사,0.31
충청북도 진천군,군도 3호선,36.8218668,127.4857294,36.8269572,127.4884502,군도,고갯길,2
경상북도 영주시,군도3호선,36.9917645,128.5710812,37.0388226,128.6043237,군도,기타,7
부산광역시 부산진구,복지로85~복지로115,35.1455962,129.0196253,35.1429031,129.0188654,구도,급경사,0.35
충청남도 서산시,고남저수지(지방도634호),36.8202804,126.4237365,36.8196233,126.4277184,지방도,기타,1
부산광역시 영도구,은빛길~와치로167번길,35.0794189,129.0658923,35.0801205,129.0638819,지방도,급경사,0.24
부산광역시 영도구,와치로167번길,35.0807618,129.0667961,35.0805031,129.06534,지방도,급경사,0.16
경상북도 영주시,지방도901호선,36.85563,128.473705,36.844916,128.467328,지방도,고갯길,1.8
전북특별자치도 부안군 경제산업국 건설교통과,바드재,35.6555022,126.6141005,35.6184473,126.6355134,군도,고갯길,8
충청남도 태안군,군도 11호선,36.5437929,126.3308608,36.5438281,126.330695,군도,산악지대,0.36
경상남도 의령군 안전건설국 건설과,군도15호선,35.4719202,128.322267,35.4967609,128.3143566,군도,고갯길,3.1
전북특별자치도 부안군 경제산업국 건설교통과,우슬재,35.6944613,126.6423683,35.6646731,126.6185926,지방도,고갯길,5
