연번,관리기관,설치연도,설치위치 (시점 ~ 종점),설치연장(m)
1,종로구,2023.10.,명륜길(명륜길 74 ~ 명륜9길 1),160
2,종로구,2023.10.,사직로1길(행촌동 174-5 ~ 행촌동 171-35),75
3,종로구,2023.10.,사직로1다길(행촌동 201-172 ~ 행촌동 171-120),95
4,종로구,2023.10.,평창길(평창동 435-2 ~ 평창동 448),150
5,종로구,2023.10.,평창30길(평창동 66-28 ~ 평창동 464-14),210
6,종로구,2023.10.,홍지문길(구기동 54-13 ~ 구기동 40-1),190
7,종로구,2023.10.,백석동길(창의문로 132 ~ 백석동길 12-1),105
8,종로구,2023.10.,창덕궁길(창덕궁길 190 ~ 창덕궁5길 40),355
9,종로구,2023.12.,율곡로19길(율곡로19길 24 ~ 율곡로19길 68-2),175
10,종로구,2023.12.,홍지문길(홍지문길 2 ~ 홍지문2길 2),130
11,종로구,2023.12.,평창20길(평창동 148-16 ~ 평창동 139-5),130
12,종로구,2024.10.,성균관로13길(명륜1가 7-69 ~ 명륜3가 1-1003),275
13,종로구,2024.10.,명륜10길(명륜9길 3-2 ~ 명륜10길 16),80
14,종로구,2024.10.,동망산길(숭인동 7-8 ~ 숭인동 24-3),200
15,종로구,2024.10.,홍지문길(홍지문2길 2 ~ 구기동 41-4),550
16,종로구,2024.10.,평창21길(평창문화로 99 ~ 평창21길 9-14),220
17,종로구,2024.10.,평창길(평창길 52 ~ 평창문화로 33),550
18,종로구,2024.10.,평창4길(평창4길 1 ~ 평창4길 9-1),100
19,종로구,2025.11.,상명대 정문(홍지문2길 2 ~ 홍지문2길 11),90
20,종로구,2025.11.,지봉로17길(지봉로 107 ~ 지봉로17길 47),205
21,종로구,2025.11.,숭인동1길(숭인동1길 44 ~ 종로65길 36),110
22,종로구,2025.11.,동숭4나길(동숭4나길 17 ~ 동숭4나길 27),145
23,종로구,2025.11.,비봉4길(비봉4길 47 ~ 비봉4길 18),250
24,종로구,2025.11.,자하문로(자하문로 312 ~ 자하문로 312-52),210
25,종로구,2025.11.,백석동길(자하문로 256 ~ 백석동길 239),370
26,종로구,2025.11.,창신길(창신10가길 1-14 ~ 창신동 611-45),150
27,종로구,2025.11.,비봉5길(비봉5길 5 ~ 비봉5길 29),365
28,종로구,2026. 2.,창신길(창신10가길 1-11 ~ 창신길 140),170
29,종로구,2026. 2.,낙산길(낙산길 250 ~ 낙산길 258),85
30,중구,2020. 10,중림로 2-1 ~ 중림로4길 32,182
31,중구,2020. 10,퇴계로6가길 32 ~ 소월로 39-1,128
32,중구,2020. 10,다산로36길 110,305
33,중구,2020. 10,퇴계뢰68길 24-1 ~ 신당동 229-56,67
34,중구,2022. 11,필동로8길 16 ~ 필동로8가길 56,330
